host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
63.251.228.119;;;tcp;22;tcpwrapped;open;;;syn-ack;;8;
63.251.228.119;;;tcp;79;finger;closed;;;conn-refused;;3;
63.251.228.119;;;tcp;111;rpcbind;closed;;;conn-refused;;3;
63.251.228.120;;;tcp;22;ssh;closed;;;conn-refused;;3;
63.251.228.120;;;tcp;79;finger;closed;;;conn-refused;;3;
63.251.228.28;;;tcp;79;finger;closed;;;conn-refused;;3;
63.251.228.28;;;tcp;111;rpcbind;closed;;;conn-refused;;3;
63.251.228.30;ns-sj.portera.com;PTR;tcp;53;tcpwrapped;open;;;syn-ack;;8;
63.251.228.41;eqxeisopenl01.eqx.exigengroup.com;PTR;tcp;23;telnet;closed;;;conn-refused;;3;
63.251.228.41;eqxeisopenl01.eqx.exigengroup.com;PTR;tcp;79;finger;closed;;;conn-refused;;3;
63.251.228.41;eqxeisopenl01.eqx.exigengroup.com;PTR;tcp;80;tcpwrapped;open;;;syn-ack;;8;
63.251.228.41;eqxeisopenl01.eqx.exigengroup.com;PTR;tcp;111;rpcbind;closed;;;conn-refused;;3;
63.251.228.69;;;tcp;22;ssh;closed;;;conn-refused;;3;
63.251.228.69;;;tcp;23;telnet;closed;;;conn-refused;;3;
63.251.228.69;;;tcp;79;finger;closed;;;conn-refused;;3;
63.251.228.69;;;tcp;80;tcpwrapped;open;;;syn-ack;;8;
63.251.228.69;;;tcp;111;rpcbind;closed;;;conn-refused;;3;
63.251.228.70;;;tcp;23;telnet;closed;;;conn-refused;;3;
63.251.228.70;;;tcp;80;tcpwrapped;open;;;syn-ack;;8;
63.251.228.71;eqx-cvops-pxy01.eqx.exigengroup.com;PTR;tcp;22;ssh;closed;;;conn-refused;;3;
63.251.228.71;eqx-cvops-pxy01.eqx.exigengroup.com;PTR;tcp;79;finger;closed;;;conn-refused;;3;
63.251.228.71;eqx-cvops-pxy01.eqx.exigengroup.com;PTR;tcp;111;rpcbind;closed;;;conn-refused;;3;
63.251.228.74;sfo-eis-proxy01.eqxdev.exigengroup.com;PTR;tcp;22;ssh;closed;;;conn-refused;;3;
63.251.228.74;sfo-eis-proxy01.eqxdev.exigengroup.com;PTR;tcp;23;telnet;closed;;;conn-refused;;3;
